acc,COND,conf,COND2,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.6161616161616162,present_sequential_no warning,0,NA,NA,1,0.6161616161616162,present_sequential_no warning,8.071732890369338,0.3275163763939099,7.274197643460636,8.595981558757924
0.6161616161616162,present_sequential_warning,0,NA,NA,1,0.6161616161616162,present_sequential_warning,8.175110312889743,0.26216170980282977,7.528646374236999,8.647330652731787
0.6161616161616162,present_serial_no warning,0,NA,NA,1,0.6161616161616162,present_serial_no warning,8.000199982746697,0.3384445248606563,7.2359252557146645,8.53762750740626
0.6161616161616162,present_serial_warning,0,NA,NA,1,0.6161616161616162,present_serial_warning,7.830489160277948,0.40579642064858995,7.067601664281062,8.49702041104091
0.6262626262626263,absent_sequential_no warning,0,NA,NA,1,0.6262626262626263,absent_sequential_no warning,8.062947525679345,0.26320810476400713,7.452016841159498,8.519656244600034
0.6262626262626263,absent_sequential_warning,0,NA,NA,1,0.6262626262626263,absent_sequential_warning,8.078170148556474,0.32114725383559933,7.265436529793507,8.602062032200795
0.6262626262626263,absent_serial_no warning,0,NA,NA,1,0.6262626262626263,absent_serial_no warning,8.030056767596733,0.3381099377077558,7.235152582557374,8.551902893579744
0.6262626262626263,absent_serial_warning,0,NA,NA,1,0.6262626262626263,absent_serial_warning,7.843476050170248,0.4129526471011308,7.093221758187388,8.482361164698961
0.6262626262626263,present_sequential_no warning,0,NA,NA,1,0.6262626262626263,present_sequential_no warning,8.072264761545023,0.32836854226010237,7.27284708955469,8.597480532909588
0.6262626262626263,present_sequential_warning,0,NA,NA,1,0.6262626262626263,present_sequential_warning,8.176132451795974,0.26239799241351175,7.530075950614604,8.648856281269495
0.6262626262626263,present_serial_no warning,0,NA,NA,1,0.6262626262626263,present_serial_no warning,8.00182091709589,0.338222407120691,7.236029122270519,8.539880804617436
0.6262626262626263,present_serial_warning,0,NA,NA,1,0.6262626262626263,present_serial_warning,7.835882377351451,0.40654722795500864,7.068644706195013,8.500268235560553
0.6363636363636365,absent_sequential_no warning,0,NA,NA,1,0.6363636363636365,absent_sequential_no warning,8.063995851041756,0.2637798314808468,7.451110571653811,8.52165937910855
0.6363636363636365,absent_sequential_warning,0,NA,NA,1,0.6363636363636365,absent_sequential_warning,8.079304127678142,0.32185375853720183,7.262876340480485,8.604028458044091
0.6363636363636365,absent_serial_no warning,0,NA,NA,1,0.6363636363636365,absent_serial_no warning,8.031379936606672,0.33891158411755107,7.234546809537089,8.554783129260992
0.6363636363636365,absent_serial_warning,0,NA,NA,1,0.6363636363636365,absent_serial_warning,7.844655152436199,0.41452358122585686,7.09159760708876,8.484254175276934
0.6363636363636365,present_sequential_no warning,0,NA,NA,1,0.6363636363636365,present_sequential_no warning,8.073009471872723,0.32944262093298715,7.2706749304244696,8.598590859608434
0.6363636363636365,present_sequential_warning,0,NA,NA,1,0.6363636363636365,present_sequential_warning,8.177187400605682,0.26281831786397236,7.530506645518296,8.650795743863155
0.6363636363636365,present_serial_no warning,0,NA,NA,1,0.6363636363636365,present_serial_no warning,8.003149622894156,0.338375814016002,7.234859838021825,8.541681880677636
0.6363636363636365,present_serial_warning,0,NA,NA,1,0.6363636363636365,present_serial_warning,7.841042112842542,0.40714053618556634,7.068915558767271,8.504836086799752
0.6464646464646465,absent_sequential_no warning,0,NA,NA,1,0.6464646464646465,absent_sequential_no warning,8.065541221783882,0.2644811277293057,7.450449417835808,8.522993204147681
0.6464646464646465,absent_sequential_warning,0,NA,NA,1,0.6464646464646465,absent_sequential_warning,8.080166335532272,0.3220137785869459,7.260144593548253,8.605634560947555
0.6464646464646465,absent_serial_no warning,0,NA,NA,1,0.6464646464646465,absent_serial_no warning,8.033295265770331,0.33944673437940526,7.23450220699779,8.55733508649232
0.6464646464646465,absent_serial_warning,0,NA,NA,1,0.6464646464646465,absent_serial_warning,7.845578871878601,0.41548687310915877,7.0905337563594415,8.48604100540401
0.6464646464646465,present_sequential_no warning,0,NA,NA,1,0.6464646464646465,present_sequential_no warning,8.073542768723897,0.330057217894136,7.268284836549567,8.599893558185414
0.6464646464646465,present_sequential_warning,0,NA,NA,1,0.6464646464646465,present_sequential_warning,8.177995188114341,0.2629892478163455,7.530274977422479,8.653067795987338
