acc,FaceAbility,conf,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.15151515151515152,0,0,NA,1,0.15151515151515152,0,7.55615392486923,0.23337043737226737,7.177901269142846,8.068925880106354
0.15151515151515152,0.88,0,NA,1,0.15151515151515152,0.88,7.798385210465073,0.3391523845238884,7.228786029690947,8.298020008667368
0.16161616161616163,-0.89,0,NA,1,0.16161616161616163,-0.89,7.412321128878647,0.19783772561076518,7.077688684358464,7.988317269960259
0.16161616161616163,0,0,NA,1,0.16161616161616163,0,7.562339800989523,0.2362945890241012,7.180644505462291,8.07433775842148
0.16161616161616163,0.88,0,NA,1,0.16161616161616163,0.88,7.804593518301477,0.33910189499717663,7.231313389612115,8.301439510446425
0.17171717171717174,-0.89,0,NA,1,0.17171717171717174,-0.89,7.415972293321461,0.20044033042705556,7.079442897462219,7.997524574868353
0.17171717171717174,0,0,NA,1,0.17171717171717174,0,7.56779638190581,0.2386975118623293,7.183446167784411,8.081138013619986
0.17171717171717174,0.88,0,NA,1,0.17171717171717174,0.88,7.8102794504191415,0.3391981146978684,7.2336470806563655,8.304734461378699
0.18181818181818182,-0.89,0,NA,1,0.18181818181818182,-0.89,7.41949575115925,0.20264593633561834,7.0810724490530275,8.00617713340399
0.18181818181818182,0,0,NA,1,0.18181818181818182,0,7.573114607247374,0.24092148800155824,7.186865022979972,8.087172528661242
0.18181818181818182,0.88,0,NA,1,0.18181818181818182,0.88,7.816594615693624,0.33856421711717066,7.2359269856688355,8.307651492817952
0.19191919191919193,-0.89,0,NA,1,0.19191919191919193,-0.89,7.423583003467889,0.2057298589494105,7.082836943692869,8.014493867622924
0.19191919191919193,0,0,NA,1,0.19191919191919193,0,7.578883373406618,0.24356160686308714,7.189085626588114,8.092991799031145
0.19191919191919193,0.88,0,NA,1,0.19191919191919193,0.88,7.823104078772376,0.3380208338934935,7.237479352878298,8.309679045544922
0.20202020202020204,-0.89,0,NA,1,0.20202020202020204,-0.89,7.427209696999589,0.20847411207147648,7.0845268904645415,8.023017172639966
0.20202020202020204,0,0,NA,1,0.20202020202020204,0,7.584924563430822,0.246258705691573,7.191347595344491,8.098875611094552
0.20202020202020204,0.88,0,NA,1,0.20202020202020204,0.88,7.828491364875694,0.338248392485287,7.238602897424068,8.312686511650709
0.21212121212121213,-0.89,0,NA,1,0.21212121212121213,-0.89,7.430813929178742,0.21149419145844903,7.08593202561871,8.030664825666149
0.21212121212121213,0,0,NA,1,0.21212121212121213,0,7.590832589662804,0.24879234688169746,7.193936026439548,8.106075921598734
0.21212121212121213,0.88,0,NA,1,0.21212121212121213,0.88,7.834197351631278,0.3374443995341232,7.240602427101187,8.315755593534508
0.22222222222222224,-0.89,0,NA,1,0.22222222222222224,-0.89,7.4344432870997474,0.21432471998233354,7.088401409986672,8.038432269539902
0.22222222222222224,0,0,NA,1,0.22222222222222224,0,7.596939715903355,0.2513621355294644,7.19728882255481,8.111806830912062
0.22222222222222224,0.88,0,NA,1,0.22222222222222224,0.88,7.839945503082336,0.3372519867018108,7.2443373664114565,8.318992588307063
0.23232323232323235,-0.89,0,NA,1,0.23232323232323235,-0.89,7.438218271475225,0.2167215230188771,7.090836232308799,8.046854379770062
0.23232323232323235,0,0,NA,1,0.23232323232323235,0,7.603432272940671,0.2540045034406955,7.200349780456616,8.11800139942587
0.23232323232323235,0.88,0,NA,1,0.23232323232323235,0.88,7.84624344693354,0.33609821651009786,7.246594681472461,8.321795885417067
0.24242424242424243,-0.89,0,NA,1,0.24242424242424243,-0.89,7.441933971261792,0.21952166978033139,7.093034295219412,8.056118067603338
0.24242424242424243,0,0,NA,1,0.24242424242424243,0,7.609297524329142,0.25664358449779273,7.203319426614735,8.123477337970712
0.24242424242424243,0.88,0,NA,1,0.24242424242424243,0.88,7.851949263267102,0.3352643473783924,7.248868351035321,8.323733924393276
0.25252525252525254,-0.89,0,NA,1,0.25252525252525254,-0.89,7.446108518960022,0.2229096670050275,7.094980362359632,8.06494401392161
0.25252525252525254,0,0,NA,1,0.25252525252525254,0,7.615614120739231,0.2592215246120861,7.2059479170588485,8.13017781289339
0.25252525252525254,0.88,0,NA,1,0.25252525252525254,0.88,7.857772368492421,0.3348428557747964,7.250319754563511,8.326850641058689
