b_CONDabsent_nowarning,b_CONDabsent_warning,b_CONDpresent_nowarning,b_CONDpresent_warning
-3.72537798541574,-1.4201643612807417,1.7593116193079374,-0.558842242104509
-2.4487667656089265,-2.093463041820619,1.1103074843194023,-1.7193262590644895
-4.37999272227985,-1.0599819617932058,-0.13770804387172841,-1.7939444459049407
-3.1022409873954278,-2.0088636316400854,-0.296642262654848,-0.2520961971903673
-2.3127232824085304,-3.5805879907533096,-0.22694855459754976,-0.23766368951736921
-3.1275653879420466,-2.209004107491872,-1.7405381873661303,-1.4942747083863495
-2.9510902389606293,-1.319453187497619,-0.17087587491134765,0.24800220131580886
-3.1677339269748437,-1.282432087200558,0.5037464675572173,-1.180696683753179
-2.1206165545009883,-2.17289144849826,0.3490070226144095,-0.41507727573104414
-3.9260272820427886,-1.4274484840366723,-0.47208754709492473,-0.9110061745372932
-3.019149549552032,-1.3741591980406433,-0.20812090683584114,-0.31402957765020223
-4.160930801210561,-2.7669199586184265,-1.4666542209318092,-1.771756375345295
-4.318643725723947,-2.772568706950542,-2.174880002557467,-1.142753764846193
-2.907704223422052,-2.3891552223690073,-0.3581340844168961,-0.7769217593688753
-3.182452023816498,-3.214879549116345,-0.08433390751514876,-0.31533621631352343
-3.160094629028645,-1.032821523498595,0.7265098761128168,-0.6728348138679682
-3.563332444023665,-2.571361812050677,-0.5825821541809316,-0.7093243241286461
-3.977742736129035,-1.8669937829420258,0.5742626469908556,-1.0060271053674794
-3.8844467854912654,-1.9396381846061628,-0.037036925489779854,-1.4251582267873233
-2.9688310218196374,-1.3559909075527417,-0.26195134529373354,-0.5808705832517472
-2.0253886704199626,-2.2074013268312442,0.16400501162246445,-0.8172986092692073
-1.8540612310547455,-1.3823357180792817,-0.491690288741337,-0.26974377142600686
-5.5653052764621105,-1.9551059094091068,-0.3468678389240588,-0.8360858603785961
-4.720142032532796,-1.5631203938712956,-1.2876776005930415,-0.6646070662122111
-1.7596763469495513,-3.5060279463103017,-0.21228533095131016,-0.23070585716451822
-4.540767400541024,-1.24157411562997,0.013437234587129795,-0.7779185036577706
-3.664430203031818,-2.4634539837780043,1.9485425171401016,-0.17206661922383237
-3.5581765958149623,-1.8624751072619403,2.120792743529893,-0.7141106367360737
-2.6191627826355077,-1.561429620331821,0.9566483165102844,-0.7225415446208168
-1.545570632082073,-1.5152415950718046,-0.21279772833716992,-1.2034317499788423
-6.118000987335096,-2.097788901608619,0.4282700872397439,1.0884972141747074
-1.9063860644802741,-1.808652041987802,-1.194646411140676,-1.3962196241936382
-3.2536927773076103,-1.0187438848075012,-1.2642334785370066,-0.6010417836431652
-2.7029228129776173,-0.6421517817416874,-0.5588455511338202,-0.7008197492720184
-1.0726740873260407,-2.17395451067202,-0.7891940457469087,0.9240624666163265
-3.6649680612193225,-0.7980971210493832,0.5762692927301853,-0.6119139880014074
-4.126986326143896,-1.3003009367750544,0.023314400703812063,-0.666522370341611
-6.582564275050687,-2.427168626364348,-0.06058826704610913,-0.6817657693653701
-7.743848064389811,-0.29264034415441587,-0.7105251809416904,-1.2613833206069223
-1.5088173742355218,-2.268412387242801,-0.43006653849124143,-0.10531513610341002
-1.990489577790985,-1.1422663845637935,0.807344056749185,-1.2372831754790086
-6.017260536428185,-3.138228488575203,-0.9069833508681908,-1.1753505395023633
-2.5647407726787512,-2.660704819939028,0.08279850909424717,-0.010733540128307245
-2.0588352027631323,-3.1177258165724537,0.3020217630555284,-0.31258486550468206
-2.8285203022040806,-0.567972043094196,-0.0747273149332397,-0.2759528732346745
-4.010696905616396,-4.2499538912991826,-0.409516492088885,0.3881476955808265
-2.452113950855957,-3.8247162014873424,-0.019383239635793012,-0.8028845454368647
-2.242396289797977,-3.9091325216820505,0.04828551595631048,-1.0284116964203387
-3.2133627841309704,-0.6722100697033982,-0.0369589544407333,-1.5606113001534854
-2.7121809869290043,-0.5636141400175625,-0.3109616492988741,0.2775488359529351
-3.339370234004395,-0.9211895480369814,-0.1893856221650364,-0.5476559983234829
-3.012396239504836,-1.7791167875306264,2.092583489946545,-0.5346955829185869
-2.933263550826804,-1.7568428686995352,0.44312511072745725,1.3527677981236883
-4.067682891046817,-1.5194569038932317,0.4544483223338868,1.5273817542105121
-2.2066567434896456,-0.9117328219864282,-2.3870725905110333,-1.5484940569788563
-3.338996458636867,-0.6252082373904428,-0.7978063408278435,-0.5345456128364028
-3.2529581383899666,-2.7425725998418238,-0.35762713415971076,-1.176669211799025
-1.8718504295878715,-1.823660004503417,-0.1205020667677055,-0.45574617601156636
-4.834371641599023,-1.522537182562103,0.14757635031574556,-0.10282030523772043
-3.8691018958697465,-1.3595079972328648,-1.2135473241160732,-0.17493561639405222
-4.805636315073555,-3.1545672770026143,-0.7832928524887527,-0.20658738057475856
-5.285874161770324,-2.1851252766772298,-0.8015384962695387,-0.29718125209667384
-2.572870520979729,-2.386595717713459,0.1939375590629585,-0.5704096604311883
-2.729399468939553,-1.3130245766390456,-0.2023373734710493,0.03964566759121654
-3.178073702555927,-1.7771676172225641,0.8393176422540167,0.19724873968579004
-1.9597506437689423,-1.6356704968256888,-0.5906114160643874,-1.3426856248682422
-3.653039116680607,-1.891947951055893,-2.4203472204809704,-0.6204455965430604
-2.785556243857622,-3.5633582466837295,-3.293161453603219,-0.8953253288734606
-3.200549366444126,-1.7443381611690643,0.3384828364208996,0.35369200532874245
-2.860059087758321,-1.2114178518567145,-0.21481810585183614,-0.6614974312963092
-4.3734429358218865,-1.5060912636339954,0.4739039191896095,-0.4488322283208544
-4.780743198753449,-2.3032812060002352,1.1245030239194251,0.002927190716904178
-2.5253478398724933,-2.722360058004021,-0.4194506293035066,-0.8043466999536297
-2.316246861077997,-3.203893983754128,0.322965975543432,-1.165148360058812
-3.0261776520240233,-1.8122299202580685,0.20617593015615912,-0.12189353105379415
-2.713765984523298,-1.944412127175453,2.2879309723516617,-1.2074515235056151
-3.8783659700063375,-3.624167021726686,-0.9726633404441309,-0.022092036464967477
-2.6678798351804347,-1.1890944823999863,-0.5173205208462449,-1.5485023042893276
-4.467774309075247,-1.4979763152596584,0.39560503088829563,-0.011049730050417837
-4.189872525241543,-1.1611823551588891,-0.6815226666528018,-0.8860879670614865
-2.907378450878326,-2.369947906740252,-0.8027064682419675,-1.355291262281346
-3.046937707726903,-1.2633875687197589,0.4324517072031995,-0.4401112842189757
-3.7434740048242783,-1.0844317811994897,0.31648919630561123,-0.1964914601140088
-2.0694900530614406,-1.9571163952120312,-2.5964619557579085,0.5567800786926681
-4.190095594242329,-1.8341145906295564,-0.7327131703883414,-1.1954673168518484
-2.923196866360484,-1.8555030410469775,-0.7562423909871226,-0.30098874814302135
-3.7839976253911622,-0.9501914010548514,-1.3612468292045647,-1.9611165808008773
-2.333702865246121,-2.2511065763223406,-1.1549391072224586,-0.7380593320636037
-3.4509327333518653,-0.48179325256279903,-0.5493714669066697,0.10987685275873653
-1.0416021276864866,-0.05398369755816159,0.7364083951139331,-1.8718898601651257
-0.8800204328449299,-0.487940983731147,0.8135095155431787,-1.2668669710057592
-0.9628045518835262,-0.38434569268380586,1.9464612928026956,-0.1966380498874623
-1.7807329771884768,-0.1115990943334134,0.7352002693594134,0.13913257367324466
-2.2705542997410464,0.07706419350983391,-0.42575408403362625,0.5582904654960794
-1.8021796959446286,2.0803316080341556,-0.8702855436010929,0.1743168228682706
-3.35244164922176,1.9049344493085985,0.20615284368827785,-0.5377791151420689
-1.6683413322253144,-0.520313691880886,-0.10924968587474962,-0.12080316666304049
-3.252763218060611,0.5095129600961353,0.4241965779591822,0.44822726773021226
-4.140729493901,-1.4979196209710919,-0.44407310983963044,0.0409273823876387
-1.4370433816631716,-0.8370371202990288,0.9418315299451913,0.3198732172268505
-4.48789849852904,-1.776928153213023,-0.17980139838142759,-1.3164152464947267
-4.986099259480726,-0.809622215995222,0.01177710213351743,-1.7167786389504645
-3.1114513436375715,-3.6917021036455537,-2.2320572911860985,-1.164569091414904
-3.4074655120827355,-1.3871186300722496,0.07645701877345161,-0.6251256712677892
-3.731040666450681,-3.9629524091202364,-0.4252894240413371,-0.6646460718209902
-3.297028213996363,-1.5812373760619143,-0.5468045890175706,-0.6742012275553025
-5.815897755238281,-2.2157497982104726,0.15542335463639295,-0.22841340584567865
-3.7386963550284587,-1.563316702094143,-0.9661396740439074,-0.3425636360026387
-2.3047257881824263,-1.6001900919248755,-0.05430528699158717,-1.8185334512815792
-3.3675239570372493,-1.8376150944194165,-0.48932439150058266,-1.0529314032325576
-2.8146019867307417,-2.3321909600509136,-1.194527267455531,-0.6756243836930045
-3.803646705028972,-1.841704468656857,-0.5598365092024364,-0.658519277061873
-1.7442442241160188,-2.0916090603089903,0.14621263502617377,-1.1256283217645822
-5.2445088117297525,-0.8934522848533896,0.7775795025898289,-1.1581508136374905
-4.639841792290859,-1.435460394419008,1.6377680987399037,-1.1533358941127339
-3.5966876928443514,-1.7826788955632165,-0.983260725534767,-0.1973763486282215
-2.9289538622507996,-2.372415731310423,-2.907420322715225,-1.0661045098751256
-2.6213511192295518,-2.6747415589654953,-2.440429511113834,0.08466531451478852
-2.941741289613508,-1.8504233641832952,-0.6797891409963277,-1.3914436854824057
-3.124648606941635,-1.6176237512917637,-0.5073857532290791,-1.2940892031803042
-3.4383051439588868,-2.0075854152305266,-0.7215119674364634,-1.0563857055933692
-1.370005273101414,-1.0816226732909906,-0.3383391752000078,-1.0681551030069796
-3.817322957784485,-1.8276123538867404,-0.423239122703122,-0.4370207541348048
-3.9054666663350734,-1.0430429847864124,-0.5719093121671068,-0.5193526621404745
-3.5411939209671788,-2.490578165433608,-0.14237089746151008,0.011204809379732502
-2.336376163979712,-0.8354878817796183,0.7675285964709966,-1.1186475139757044
-2.1436488661111595,-1.3337197880018872,-0.3886535745216143,-0.6127785676614044
-3.2548144033300863,-1.8305640252156743,-0.7054060030456463,-0.9357801196817771
-3.5988034206169845,-3.9679944668190563,-2.143009729512731,-1.0455961910082607
-3.3869423365249296,-2.258632696401937,-1.74951600985958,-0.014543810616476686
-3.7639655310801374,-1.256124205820607,-1.742108307330244,-0.9785126365830391
-2.2216042233515276,-1.6766417910698503,-0.31505655538947425,0.29382333048773723
-3.329470902815868,-1.5172890808069701,-0.6255285454208916,-1.8799464047586287
-2.1961509127840526,-1.4404097230706943,-2.5022896219002013,0.8104784635291109
-2.439401826005297,-0.47020610871535345,-4.8624158011146434,-0.1531492321002727
-2.4087650971101047,-3.3461385978687814,-2.4977005658268054,-0.3895516405215961
-3.9597667505012035,-2.120143253104316,-0.6634758214027504,-0.9307297710656524
-4.5027272649046015,-2.2016786063752862,-0.9726288670816792,-1.638576152789339
-2.3479348974687344,-2.337931065296926,-1.5977786677696881,-1.0686453657646162
-4.137635563019249,-2.665218890536492,-1.4909445052555668,-0.003067681991073337
-3.192982394785287,-1.603566209919516,-1.070583152128052,-1.1443089005649847
-3.0052582714882505,-0.9556530721808099,0.53987626978751,0.31450392385467046
-2.9301045047045093,0.9967764087956039,2.1013071013270754,0.661909928052057
-1.9474214042336189,-0.001929903979600335,-1.1444012738086922,0.3330838985875694
-1.7818350810806596,3.012266341309125,2.2809921884841193,0.9626351235530052
-1.3931893350436655,2.8169947378428586,1.5874557437417385,1.1776143985716578
-3.7503866602771474,0.7134321380204205,-0.7373522203878363,-0.580999031528639
-2.7924720352883896,-1.90424602890568,-0.17217835937936668,-0.9988836496932835
-3.659471331187142,-0.910409958262712,0.7117138421182478,-0.6914785605616818
-2.309167049468435,-0.8760085842843047,-0.05749638212204614,-0.7594764551823642
-3.0571581247659734,-1.3067540137212244,0.33197526509266456,0.07914697764747115
-4.4157064967033515,-2.7694289444163602,-0.11955656502302202,-2.18362764790512
-5.768182194695845,-1.1381463670736545,-0.4977916761048391,-1.8735994835013736
-4.112610788810289,-2.208058664340539,1.0871613902124013,-0.6775121910777365
-2.9672851449199373,-1.4781736440304987,-0.9432090634814807,-0.8399976427142036
-4.479554165537585,-2.2232938429496865,-1.0299487538945955,-0.43632819290735647
