responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
4.636363636363637,absent,11.176470588235293,1,4.636363636363637,absent,9.44031929831616,1.8404891090142128,6.329815880350264,13.960397827314047
4.636363636363637,present,11.176470588235293,1,4.636363636363637,present,10.946405234075613,1.8030280592094805,7.649797610163991,15.058691625782933
4.7272727272727275,absent,11.176470588235293,1,4.7272727272727275,absent,9.194430986256837,1.8041213460873453,6.1335691538638875,13.643031888931263
4.7272727272727275,present,11.176470588235293,1,4.7272727272727275,present,10.794171978148979,1.7856495280964602,7.5354798321128955,14.851252090987783
4.818181818181818,absent,11.176470588235293,1,4.818181818181818,absent,8.961722926818213,1.771937977361026,5.944529504014605,13.354561165624675
4.818181818181818,present,11.176470588235293,1,4.818181818181818,present,10.64374996264161,1.7611336373384434,7.421409007458127,14.657121784089428
4.909090909090909,absent,11.176470588235293,1,4.909090909090909,absent,8.72871402252806,1.7479953000253445,5.751724389344203,13.036011115675228
4.909090909090909,present,11.176470588235293,1,4.909090909090909,present,10.494578494979404,1.7411183503871024,7.308111910101975,14.46066266081998
5,absent,11.176470588235293,1,5,absent,8.503880800136544,1.7234112501341323,5.562362821761471,12.783303273195134
5,present,11.176470588235293,1,5,present,10.344753046431759,1.7204675757434167,7.195298635009832,14.25825631254674
5.090909090909091,absent,11.176470588235293,1,5.090909090909091,absent,8.279777725381097,1.6990749209756038,5.3806946176336705,12.530856561695847
5.090909090909091,present,11.176470588235293,1,5.090909090909091,present,10.197755378472607,1.711317681948174,7.088418826240517,14.084643526760868
5.181818181818182,absent,11.176470588235293,1,5.181818181818182,absent,8.06614208223295,1.6776386884418284,5.198261608108118,12.261533246808487
5.181818181818182,present,11.176470588235293,1,5.181818181818182,present,10.051047806337472,1.693594883550989,6.970055717843867,13.90497373686952
5.2727272727272725,absent,11.176470588235293,1,5.2727272727272725,absent,7.844114167650357,1.658156336447904,5.021561710187282,12.03519554757271
5.2727272727272725,present,11.176470588235293,1,5.2727272727272725,present,9.908234484095463,1.683128772787827,6.847854533843845,13.742751854072072
5.363636363636363,absent,11.176470588235293,1,5.363636363636363,absent,7.633059963092941,1.64661814690263,4.842268230168397,11.809158576195772
5.363636363636363,present,11.176470588235293,1,5.363636363636363,present,9.765450158614367,1.6721455356557577,6.728239109479032,13.57951009598296
5.454545454545455,absent,11.176470588235293,1,5.454545454545455,absent,7.4211916745787185,1.6316319498567542,4.659739271123182,11.599774114694851
5.454545454545455,present,11.176470588235293,1,5.454545454545455,present,9.625554015193895,1.6610278817716386,6.614160667163948,13.415119474000676
5.545454545454546,absent,11.176470588235293,1,5.545454545454546,absent,7.2148556167989355,1.6246357160942353,4.483059607357751,11.397651522796252
5.545454545454546,present,11.176470588235293,1,5.545454545454546,present,9.487082705650005,1.6469232767741118,6.504041796822889,13.254645326688422
5.636363636363637,absent,11.176470588235293,1,5.636363636363637,absent,7.0127603775466785,1.617789363738024,4.303972969176579,11.206806078246236
5.636363636363637,present,11.176470588235293,1,5.636363636363637,present,9.348657899348815,1.631674632211593,6.387392000140135,13.102734437693867
5.7272727272727275,absent,11.176470588235293,1,5.7272727272727275,absent,6.813487386285935,1.6085494907286486,4.136021695782707,11.009148257190555
5.7272727272727275,present,11.176470588235293,1,5.7272727272727275,present,9.21443591684818,1.620394227649583,6.272519269094258,12.95578999361351
5.818181818181818,absent,11.176470588235293,1,5.818181818181818,absent,6.61422794222208,1.599629841086523,3.968584331450398,10.845349074950645
5.818181818181818,present,11.176470588235293,1,5.818181818181818,present,9.078029785612376,1.608215183398809,6.159130685542899,12.824187704792479
5.909090909090909,absent,11.176470588235293,1,5.909090909090909,absent,6.419115842944436,1.5936461208622217,3.7986787726811735,10.700719576508346
5.909090909090909,present,11.176470588235293,1,5.909090909090909,present,8.94292759936207,1.6033475322657127,6.049377471780066,12.674751937487095
